Date,Open,High,Low,Close,Adj Close,Volume
2021-02-25,1.051,1.173,1.018,1.079,1.079,8248286269
2021-02-26,1.081,1.29,0.995,1.241,1.241,14884142109
2021-02-27,1.242,1.477,1.234,1.325,1.325,19141980288
2021-02-28,1.324,1.361,1.166,1.308,1.308,15732556180
2021-03-01,1.31,1.342,1.239,1.292,1.292,9775330113
2021-03-02,1.294,1.3,1.189,1.226,1.226,8118255106
2021-03-03,1.226,1.264,1.214,1.217,1.217,4937160429
2021-03-04,1.216,1.23,1.069,1.115,1.115,7164490225
2021-03-05,1.115,1.195,1.041,1.169,1.169,7325099027
2021-03-06,1.167,1.181,1.09,1.131,1.131,5348048001
2021-03-07,1.131,1.142,1.108,1.133,1.133,4204795554
2021-03-08,1.133,1.176,1.108,1.118,1.118,3557114310
2021-03-09,1.118,1.215,1.113,1.195,1.195,5317733185
2021-03-10,1.195,1.205,1.124,1.135,1.135,4215428913
2021-03-11,1.134,1.138,1.112,1.125,1.125,3633460869
2021-03-12,1.125,1.128,1.033,1.039,1.039,4224893051
2021-03-13,1.039,1.183,0.993,1.103,1.103,5871086058
2021-03-14,1.103,1.103,1.059,1.059,1.059,3738147940
2021-03-15,1.059,1.069,1.008,1.034,1.034,4545451677
2021-03-16,1.033,1.259,1.004,1.243,1.243,9502962157
2021-03-17,1.244,1.419,1.207,1.379,1.379,10046495758
2021-03-18,1.378,1.473,1.237,1.239,1.239,11392835545
2021-03-19,1.239,1.342,1.196,1.302,1.302,7970282918
2021-03-20,1.301,1.313,1.207,1.207,1.207,4316999916
2021-03-21,1.206,1.244,1.165,1.189,1.189,4064084727
2021-03-22,1.189,1.209,1.09,1.11,1.11,4058067310
2021-03-23,1.109,1.174,1.088,1.122,1.122,4609407773
2021-03-24,1.121,1.164,1.057,1.075,1.075,3759287517
2021-03-25,1.074,1.153,1.056,1.102,1.102,5732698268
2021-03-26,1.101,1.279,1.099,1.214,1.214,6325795912
2021-03-27,1.214,1.236,1.163,1.177,1.177,3106871131
2021-03-28,1.177,1.22,1.169,1.191,1.191,2397009016
2021-03-29,1.191,1.228,1.182,1.203,1.203,2554597106
2021-03-30,1.203,1.234,1.192,1.213,1.213,2517422843
2021-03-31,1.214,1.214,1.168,1.193,1.193,3190463749
2021-04-01,1.194,1.208,1.184,1.189,1.189,2309789364
2021-04-02,1.189,1.246,1.188,1.197,1.197,2909026267
2021-04-03,1.196,1.244,1.172,1.173,1.173,3355350115
2021-04-04,1.173,1.2,1.166,1.191,1.191,2166855014
2021-04-05,1.192,1.227,1.177,1.214,1.214,2992739340
2021-04-06,1.214,1.341,1.195,1.255,1.255,6301229657
2021-04-07,1.255,1.291,1.165,1.175,1.175,4771395490
2021-04-08,1.176,1.224,1.173,1.219,1.219,2315835365
2021-04-09,1.219,1.229,1.195,1.204,1.204,1678933674
2021-04-10,1.204,1.252,1.196,1.219,1.219,2481275569
2021-04-11,1.218,1.292,1.201,1.267,1.267,3636786443
2021-04-12,1.266,1.347,1.265,1.316,1.316,4918248258
2021-04-13,1.315,1.438,1.284,1.412,1.412,5896543066
2021-04-14,1.411,1.558,1.353,1.455,1.455,9596107541
2021-04-15,1.454,1.495,1.415,1.482,1.482,5337358369
2021-04-16,1.48,1.519,1.34,1.417,1.417,5692183858
2021-04-17,1.414,1.456,1.368,1.385,1.385,4058018560
2021-04-18,1.386,1.398,1.099,1.276,1.276,7454680286
2021-04-19,1.278,1.322,1.174,1.198,1.198,5665978235
2021-04-20,1.195,1.281,1.131,1.266,1.266,4855633658
