Kurs Jual,Kurs Beli,Tanggal
11135.68,11023.2,2022-10-05
11117.19,11004.05,2022-09-05
11325.69,11210.37,2022-28-04
11326.29,11212.71,2022-27-04
11337.34,11223.65,2022-26-04
11252.78,11139.94,2022-25-04
11261.9,11145.49,2022-22-04
11230.93,11115.72,2022-21-04
11234.8,11122.14,2022-20-04
11396.35,11280.28,2022-19-04
11497.05,11379.93,2022-18-04
11446.66,11331.86,2022-14-04
11488,11372.79,2022-13-04
11523.06,11405.67,2022-12-04
11634.16,11517.47,2022-11-04
11665.97,11547.09,2022-08-04
11663.42,11544.57,2022-07-04
11742.46,11622.78,2022-06-04
11774.05,11654.05,2022-05-04
11782.42,11660.42,2022-04-04
11815.26,11696.73,2022-01-04
11854.3,11733.45,2022-31-03
11670.97,11552.04,2022-30-03
11578.79,11460.82,2022-29-03
11860.36,11739.45,2022-28-03
11867.14,11748.09,2022-25-03
11926.54,11804.94,2022-24-03
11977.91,11855.78,2022-23-03
12090.19,11968.88,2022-22-03
12125.96,12002.27,2022-21-03
12098.95,11977.55,2022-18-03
12157.7,12033.68,2022-17-03
12215.76,12093.19,2022-16-03
12227.96,12105.26,2022-15-03
12294.79,12169.33,2022-14-03
12404.6,12277.99,2022-11-03
12471.17,12343.88,2022-10-03
12519.23,12391.44,2022-09-03
12598.35,12469.74,2022-08-03
12527.01,12399.14,2022-07-03
12543.3,12417.42,2022-04-03
12550.47,12422.35,2022-02-03
12525.67,12396.74,2022-01-03
12597.35,12468.74,2022-25-02
12531.95,12405.1,2022-24-02
12566.44,12438.15,2022-23-02
12529.93,12404.18,2022-22-02
12511.46,12383.74,2022-21-02
12491.32,12363.8,2022-18-02
12401.17,12272.47,2022-17-02
12428.36,12301.51,2022-16-02
12517.1,12389.33,2022-15-02
12434.98,12308.07,2022-14-02
12474.66,12349.47,2022-11-02
12511.12,12384.48,2022-10-02
12533.1,12406.24,2022-09-02
12576.91,12448.52,2022-08-02
12554.64,12426.48,2022-07-02
12606.11,12477.42,2022-04-02
12590.59,12463.13,2022-03-02
12528.33,12400.45,2022-02-02
12510.09,12384.54,2022-31-01
12581.09,12452.65,2022-28-01
12629.41,12500.46,2022-27-01
12667.71,12539.46,2022-26-01
12681.56,12549.85,2022-25-01
12649.13,12518.87,2022-24-01
12625.39,12497.58,2022-21-01
12620.69,12490.74,2022-20-01
12552.65,12424.49,2022-19-01
12582.71,12454.24,2022-18-01
12636.46,12507.42,2022-17-01
12563.38,12435.11,2022-14-01
12460.78,12335.72,2022-13-01
12462.49,12335.28,2022-12-01
12445.63,12320.73,2022-11-01
12465.92,12338.69,2022-10-01
12497.18,12369.62,2022-07-01
